29.06.2026 01:47:24 | Fire=0 | Smoke=1
29.06.2026 01:47:25 | Fire=1 | Smoke=1
29.06.2026 01:47:25 | Fire=0 | Smoke=1
29.06.2026 01:47:25 | Fire=1 | Smoke=0
29.06.2026 01:47:25 | Fire=0 | Smoke=1
29.06.2026 01:47:25 | Fire=0 | Smoke=1
29.06.2026 01:47:25 | Fire=1 | Smoke=1
29.06.2026 01:47:25 | Fire=2 | Smoke=1
29.06.2026 01:47:25 | Fire=1 | Smoke=1
29.06.2026 01:47:25 | Fire=0 | Smoke=1
29.06.2026 01:47:25 | Fire=1 | Smoke=1
29.06.2026 01:47:25 | Fire=0 | Smoke=2
29.06.2026 01:47:26 | Fire=0 | Smoke=1
29.06.2026 01:47:26 | Fire=0 | Smoke=1
29.06.2026 01:47:26 | Fire=0 | Smoke=1
29.06.2026 01:47:27 | Fire=0 | Smoke=1
29.06.2026 01:47:27 | Fire=0 | Smoke=1
29.06.2026 01:47:27 | Fire=2 | Smoke=1
29.06.2026 01:47:27 | Fire=1 | Smoke=1
29.06.2026 01:47:27 | Fire=0 | Smoke=1
29.06.2026 01:47:27 | Fire=1 | Smoke=1
29.06.2026 01:47:27 | Fire=1 | Smoke=1
29.06.2026 01:47:27 | Fire=1 | Smoke=1
29.06.2026 01:47:27 | Fire=1 | Smoke=1
29.06.2026 01:47:28 | Fire=1 | Smoke=1
29.06.2026 01:47:28 | Fire=1 | Smoke=1
29.06.2026 01:47:28 | Fire=1 | Smoke=2
29.06.2026 01:47:28 | Fire=1 | Smoke=1
29.06.2026 01:47:28 | Fire=1 | Smoke=1
29.06.2026 01:47:28 | Fire=1 | Smoke=1
29.06.2026 01:47:28 | Fire=1 | Smoke=2
29.06.2026 01:47:28 | Fire=2 | Smoke=1
29.06.2026 01:47:28 | Fire=2 | Smoke=1
29.06.2026 01:47:28 | Fire=1 | Smoke=1
29.06.2026 01:47:28 | Fire=1 | Smoke=1
29.06.2026 01:47:28 | Fire=1 | Smoke=1
29.06.2026 01:47:28 | Fire=2 | Smoke=1
29.06.2026 01:47:29 | Fire=2 | Smoke=1
29.06.2026 01:47:29 | Fire=2 | Smoke=2
29.06.2026 01:47:29 | Fire=0 | Smoke=1
29.06.2026 01:47:29 | Fire=0 | Smoke=1
29.06.2026 01:47:29 | Fire=1 | Smoke=0
29.06.2026 01:47:29 | Fire=0 | Smoke=1
29.06.2026 01:47:29 | Fire=1 | Smoke=2
29.06.2026 01:47:29 | Fire=1 | Smoke=1
29.06.2026 01:47:29 | Fire=0 | Smoke=1
29.06.2026 01:47:29 | Fire=1 | Smoke=1
29.06.2026 01:47:29 | Fire=1 | Smoke=1
29.06.2026 01:47:29 | Fire=1 | Smoke=1
29.06.2026 01:47:30 | Fire=1 | Smoke=1
29.06.2026 01:47:30 | Fire=1 | Smoke=1
29.06.2026 01:47:30 | Fire=1 | Smoke=1
29.06.2026 01:47:30 | Fire=0 | Smoke=1
29.06.2026 01:47:31 | Fire=1 | Smoke=1
29.06.2026 01:47:31 | Fire=1 | Smoke=1
29.06.2026 01:47:31 | Fire=1 | Smoke=1
29.06.2026 01:47:31 | Fire=1 | Smoke=1
29.06.2026 01:47:31 | Fire=1 | Smoke=1
29.06.2026 01:47:31 | Fire=1 | Smoke=1
29.06.2026 01:47:31 | Fire=1 | Smoke=1
29.06.2026 01:47:31 | Fire=1 | Smoke=1
29.06.2026 01:47:31 | Fire=1 | Smoke=1
29.06.2026 01:47:31 | Fire=1 | Smoke=1
29.06.2026 01:47:31 | Fire=1 | Smoke=1
29.06.2026 01:47:31 | Fire=1 | Smoke=1
29.06.2026 01:47:32 | Fire=1 | Smoke=1
29.06.2026 01:47:32 | Fire=1 | Smoke=1
29.06.2026 01:47:32 | Fire=0 | Smoke=1
29.06.2026 01:47:32 | Fire=1 | Smoke=1
29.06.2026 01:47:32 | Fire=1 | Smoke=1
29.06.2026 01:47:32 | Fire=1 | Smoke=1
29.06.2026 01:47:32 | Fire=0 | Smoke=1
29.06.2026 01:47:32 | Fire=1 | Smoke=1
